Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2021-08-09 08:23:41,false,"Arlington Cycling","5.06","227","00:42:24","112","137","--","--","7.2","13.6","43","82","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:24.22","2","0.0","00:38:59","00:42:24","526","572"
Walking,2021-08-07 10:01:54,false,"Arlington Walking","2.11","234","00:38:27","125","147","116","138","18:14","15:08","59","154","0.76","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:57.74","3","0.0","00:37:38","00:46:29","535","621"
Cycling,2021-08-06 08:12:48,false,"Arlington Cycling","4.32","168","00:38:42","103","114","--","--","6.7","12.6","30","46","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","38:41.60","1","0.0","00:37:29","00:38:42","536","564"
Cycling,2021-08-05 15:50:05,false,"Arlington Cycling","1.95","130","00:16:46","128","134","--","--","7.0","13.9","13","7","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:45.83","1","0.0","00:15:54","00:16:46","558","581"
Walking,2021-08-05 12:03:51,false,"Keller Walking","0.23","25","00:05:49.2","102","112","95","121","25:15","15:58","--","--","0.67","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:49.18","1","0.0","00:05:27","00:09:08.2","651","703"
Walking,2021-08-04 10:47:13,false,"Keller Walking","0.33","39","00:08:15.2","93","128","84","119","24:46","17:01","--","--","0.77","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:15.20","1","0.0","00:07:33","00:09:26.2","590","710"
Walking,2021-08-04 08:40:51,false,"Arlington Walking","2.75","290","00:47:05","84","107","123","137","17:08","15:32","43","135","0.76","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:04.89","3","0.0","00:46:54","00:48:25","378","487"
Walking,2021-08-02 16:33:59,false,"Arlington Walking","2.44","259","00:41:45","119","138","124","133","17:08","14:45","49","89","0.76","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:43.15","3","0.0","00:41:34","00:42:27","401","466"
Walking,2021-08-01 12:42:07,false,"Arlington Walking","2.47","271","00:42:40","126","152","122","135","17:18","14:54","285","384","0.76","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:07.53","3","0.0","00:42:24","00:48:56","393","486"
Walking,2021-07-31 13:29:38,false,"Arlington Walking","1.28","139","00:22:19","100","147","120","133","17:26","2:09","30","26","0.77","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:51.29","2","0.0","00:22:09","00:23:19","612","638"
Walking,2021-07-29 10:05:20,false,"Arlington Walking","6.28","632","01:44:55","131","148","111","152","16:42","1:45","784","774","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:35.34","7","0.0","01:43:17","02:41:03","528","646"
Walking,2021-07-28 08:57:26,false,"Arlington Walking","2.60","278","00:43:40","93","139","124","135","16:47","15:18","56","92","0.77","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:14.78","3","0.0","00:43:17","00:47:44","567","623"
Walking,2021-07-27 08:28:29,false,"Arlington Walking","2.02","207","00:35:57","104","137","108","135","17:50","15:12","118","200","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:19.48","3","0.0","00:35:43","00:45:05","342","517"
Walking,2021-07-23 15:00:34,false,"Arlington Walking","2.07","228","00:37:27","116","139","119","148","18:07","3:49","207","246","0.75","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:49.42","3","0.0","00:37:22","00:46:11","549","635"
Walking,2021-07-21 12:28:39,false,"Arlington Walking","3.77","411","01:08:16","120","138","119","135","18:07","15:03","528","525","0.74","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","13:41.93","4","0.0","01:08:00","01:17:37","540","623"
Walking,2021-07-20 13:25:26,false,"Arlington Walking","4.87","529","01:28:32","124","140","118","151","18:12","14:59","295","331","0.75","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:15.22","5","0.0","01:28:07","01:50:21","489","588"
Walking,2021-07-17 13:39:13,false,"Arlington Walking","3.79","414","01:07:32","119","141","121","225","17:50","14:45","597","614","0.75","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:02.72","4","0.0","01:07:05","01:18:54","472","623"
Walking,2021-07-15 12:32:39,false,"Arlington Walking","5.65","512","01:26:08","123","138","116","135","15:14","1:52","1,024","1,043","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:13.90","6","0.0","01:25:15","01:51:37","446","641"
Walking,2021-07-13 10:59:20,false,"Arlington Walking","4.85","528","01:30:24","117","132","117","135","18:38","15:22","1,342","1,394","0.74","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:55.43","5","0.0","01:30:01","01:43:44","185","325"
Walking,2021-07-12 12:12:11,false,"Arlington Walking","4.01","446","01:12:23","125","146","119","135","18:02","14:59","627","620","0.75","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.68","5","0.0","01:12:01","01:24:53","285","507"
