Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-08-30 10:30:16,false,"Arlington Walking","4.14","417","01:20:20","113","136","114","129","19:25","15:22","338","420","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:20:20.06.9","1","0.0","01:20:01","01:39:31","315","591"
Cycling,2022-08-27 12:04:31,false,"Arlington Cycling","17.36","590","01:59:23","117","130","0","0","8.7","17.5","259","220","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:01.43.4","4","0.0","01:49:04","02:13:40","453","600"
Cycling,2022-08-26 10:14:19,false,"Arlington Cycling","29.77","871","03:11:37","115","136","0","0","9.3","15.3","282","246","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:05.57.6","6","0.0","03:05:32","03:33:33","386","575"
Cycling,2022-08-25 10:52:55,false,"Cycling","8.18","326","01:13:22","109","132","0","0","6.7","14.2","164","177","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:32.75","2","0.0","01:06:47","01:20:32","419","460"
Walking,2022-08-24 11:20:25,false,"Arlington Walking","2.62","274","00:52:50","99","118","110","174","20:09","16:31","535","594","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","52:49.66.7","1","0.0","00:52:39","00:53:06","471","648"
Walking,2022-08-23 13:39:11,false,"Walking","0.74","90","00:20:57","102","124","93","143","28:28","17:51","--","--","0.61","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:56.64.5","1","0.0","00:16:00","00:20:57","--","--"
Walking,2022-08-23 12:49:31,false,"Walking","0.37","45","00:09:12.5","105","121","103","121","25:05","18:40","--","--","0.62","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:12.45.5","1","0.0","00:08:04","00:09:12.5","--","--"
Walking,2022-08-21 14:03:09,false,"Arlington Walking","0.34","50","00:07:45.0","124","142","95","152","22:32","15:22","7","--","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:44.99.8","1","0.0","00:07:33","00:08:09.0","606","622"
Walking,2022-08-21 12:14:08,false,"Walking","1.93","224","00:54:12","106","124","111","128","28:03","20:41","--","--","0.52","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","24:59.09.7","2","0.0","00:49:39","00:55:52","--","--"
Cycling,2022-08-20 07:58:35,false,"Arlington Cycling","32.50","869","03:39:36","112","145","0","0","8.9","42.2","69","105","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:17.77.3","8","0.0","03:23:53","04:08:39","343","447"
Cycling,2022-08-19 11:05:06,false,"Arlington Cycling","20.06","579","02:21:08","112","142","0","0","8.5","35.7","272","289","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.50.2","5","0.0","02:07:02","02:42:47","456","608"
Cycling,2022-08-18 12:05:56,false,"Arlington Cycling","5.05","171","00:39:19","106","119","0","0","7.7","34.2","102","92","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.03.2","2","0.0","00:33:42","00:39:19","527","599"
Cycling,2022-08-18 10:53:13,false,"Arlington Cycling","7.86","268","01:06:30","106","134","0","0","7.1","19.6","135","148","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:07.43.7","2","0.0","00:56:07","01:06:32","497","583"
Cycling,2022-08-17 07:48:07,false,"Arlington Cycling","32.00","1,049","03:50:46","119","155","0","0","8.3","15.6","138","154","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:10.45.3","7","0.0","03:07:11","04:19:29","309","490"
Cycling,2022-08-14 13:43:45,false,"Arlington Cycling","18.00","486","01:46:04","116","129","0","0","10.2","15.2","49","62","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:45.85.9","4","0.0","01:44:11","01:53:21","415","473"
Cycling,2022-08-13 07:09:08,false,"Arlington Cycling","25.07","729","03:22:10","106","127","0","0","7.4","40.0","640","620","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.54.3","6","0.0","02:54:17","04:04:45","506","621"
