Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,10/22/2022 12:06,FALSE,Arlington Cycling,22.37,776,3:23:10,111,137,0,0,6.6,21.2,902,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,22:07.65.5,5,0,3:08:21,3:23:10,560,793
Strength Training,10/22/2022 11:58,FALSE,Strength,0,26,07:21.0,94,103,0,0,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,1,0:00,0,0:00,No,07:21.02.2,1,0,00:17.8,07:23.9,--,--
Walking,10/21/2022 14:01,FALSE,Arlington Walking,2.07,201,0:42:16,114,127,108,125,20:23,17:19,62,72,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,42:15.95.8,1,0,0:41:56,0:43:41,623,699
Walking,10/21/2022 10:37,FALSE,Arlington Walking,1.92,191,0:38:03,106,126,112,126,19:47,17:01,112,49,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,38:03.19.7,1,0,0:37:55,0:38:16,605,719
Walking,10/19/2022 14:51,FALSE,Arlington Walking,1.9,180,0:37:04,115,133,113,127,19:33,15:32,89,141,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,37:03.68.9,1,0,0:36:53,0:37:46,533,681
Walking,10/19/2022 12:20,FALSE,Arlington Walking,1.85,186,0:35:42,96,115,117,130,19:18,16:09,118,43,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,35:41.93.3,1,0,0:35:32,0:35:59,522,640
Walking,10/18/2022 15:21,FALSE,Arlington Walking,1.49,145,0:32:31,105,113,103,152,21:46,8:49,43,72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,32:31.26.5,1,0,0:31:52,0:45:50,601,719
Walking,10/18/2022 12:51,FALSE,Arlington Walking,1.88,188,0:37:45,99,113,113,129,20:05,16:43,102,43,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,37:45.41.9,1,0,0:37:13,0:48:02,526,644
Walking,10/17/2022 14:07,FALSE,Arlington Walking,1.8,178,0:36:26,93,112,109,129,20:12,17:13,43,95,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,36:26.17.9,1,0,0:36:11,0:37:44,567,668
Walking,10/17/2022 11:36,FALSE,Arlington Walking,0.99,99,0:19:33,114,123,113,127,19:50,16:26,26,52,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,19:33.49.9,1,0,0:19:22,0:21:12,589,710
