Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-12-02 13:51:22,false,"Arlington Cycling","25.39","704","03:04:39","104","132","0","0","8.2","15.6","95","92","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:42.62.3","6","0.0","02:51:28","03:04:39","430","629"
Walking,2022-12-02 10:29:16,false,"Arlington Walking","0.57","71","00:29:10","83","123","19","156","51:29","17:58","13","--","1.65","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:09.74.8","1","0.0","00:26:42","01:36:59","636","688"
Walking,2022-12-01 19:35:01,false,"Arlington Walking","0.31","41","00:09:25.5","99","119","48","114","30:27","21:17","7","7","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:25.52.6","1","0.0","00:09:16","00:09:30.5","662","669"
Walking,2022-12-01 13:27:17,false,"Arlington Walking","3.78","408","01:38:02","95","127","103","130","25:58","15:58","59","43","0.60","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:38:02.08","1","0.0","01:37:39","02:03:55","687","759"
Walking,2022-11-30 11:44:45,false,"Arlington Walking","3.49","339","01:33:40","93","118","106","141","26:51","13:49","52","20","0.57","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:33:39.74.1","1","0.0","01:33:20","01:38:07","203","253"
Cycling,2022-11-29 13:43:49,false,"Arlington Cycling","17.66","629","02:55:44","99","132","0","0","6.0","19.1","545","587","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:35.88","4","0.0","02:34:20","03:05:48","530","711"
Walking,2022-11-29 12:17:48,false,"Arlington Walking","0.05","13","00:03:11.5","105","128","59","141","--","10:23","--","--","0.44","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:11.51.6","1","0.0","00:01:56","00:30:12","601","609"
Cycling,2022-11-28 14:40:02,false,"Arlington Cycling","12.77","442","01:47:44","103","135","0","0","7.1","22.4","354","341","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:01.63.9","3","0.0","01:44:08","01:47:44","588","681"
Walking,2022-11-27 13:50:12,false,"Arlington Walking","0.56","98","00:26:12","99","121","27","153","46:24","5:34","--","--","1.28","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:12.48.3","1","0.0","00:23:02","02:51:32","547","564"
Cycling,2022-11-27 12:16:15,false,"Arlington Cycling","10.55","401","01:31:09","108","137","0","0","6.9","15.9","171","154","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:43.02.6","3","0.0","01:14:20","01:31:09","579","607"
